iter	Passed	Remaining
0	2	200
1	3	175
2	6	198
3	8	192
4	10	199
5	13	207
6	15	208
7	17	205
8	19	199
9	21	192
10	23	187
11	24	181
12	26	175
13	28	176
14	30	175
15	32	173
16	35	172
17	37	170
18	39	167
19	40	163
20	43	162
21	45	160
22	46	157
23	48	153
24	50	150
25	51	147
26	53	145
27	55	142
28	57	139
29	60	140
30	62	138
31	64	136
32	66	135
33	68	132
34	69	129
35	71	127
36	73	125
37	75	122
38	77	120
39	78	118
40	80	115
41	80	111
42	82	109
43	84	107
44	85	104
45	87	103
46	89	101
47	92	99
48	94	98
49	96	96
50	98	95
51	100	93
52	102	91
53	104	89
54	105	86
55	107	84
56	109	82
57	111	80
58	112	78
59	114	76
60	116	74
61	118	72
62	120	70
63	122	68
64	124	66
65	126	64
66	128	63
67	130	61
68	133	59
69	135	58
70	137	56
71	139	54
72	142	52
73	144	50
74	146	48
75	149	47
76	150	45
77	152	43
78	154	41
79	156	39
80	158	37
81	160	35
82	162	33
83	164	31
84	166	29
85	167	27
86	170	25
87	171	23
88	173	21
89	175	19
90	177	17
91	180	15
92	182	13
93	184	11
94	187	9
95	189	7
96	191	5
97	193	3
98	195	1
99	197	0
